name,url
flag-pg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1ec.png
flag-ph,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1ed.png
flag-pk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f0.png
flag-pl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f1.png
flag-pm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f2.png
flag-pn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f3.png
flag-pr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f7.png
flag-ps,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f8.png
flag-pt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1f9.png
flag-pw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1fc.png
flag-py,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1fe.png
flag-qa,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f6-1f1e6.png
flag-re,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f7-1f1ea.png
flag-ro,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f7-1f1f4.png
flag-rs,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f7-1f1f8.png
ru,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f7-1f1fa.png
flag-rw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f7-1f1fc.png
flag-sa,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1e6.png
flag-sb,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1e7.png
flag-sc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1e8.png
flag-sd,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1e9.png
flag-se,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ea.png
flag-sg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ec.png
flag-sh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ed.png
flag-si,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ee.png
